,Hospital,Address,Phone Number
95,Dorminy Medical Center,"200 Perry House Rd, Fitzgerald, GA 31750",(229) 424-7100
96,Crisp Regional Hospital,"902 7th St N, Cordele, GA 31015",(229) 276-3100
97,Tift Regional Medical Center,"901 18th St, Tifton, GA 31794",(229) 382-7120
98,Phoebe Putney Memorial Hospital,"417 W 3rd Ave, Albany, GA 31701",(229) 312-1000
99,Phoebe Sumter Medical Center,"126 US-280, Americus, GA 31719",(229) 924-6011
100,Memorial Hospital and Manor,"1500 E Shotwell St, Bainbridge, GA 39819",(229) 246-3500
101,Grady General Hospital,"80 Jesse Hill Jr Dr SE, Atlanta, GA 30303",(404) 616-1000
102,South Georgia Medical Center,"2501 N Patterson St, Valdosta, GA 31602",(229) 433-1000
103,Southwell Medical,"260 M J Taylor Rd, Adel, GA 31620",(229) 896-8000
104,SGMC Lanier Campus,"116 W Thigpen Ave, Lakeland, GA 31635",(229) 433-8440
105,SGMC Berrien Campus,"1221 E Mcpherson Ave, Nashville, GA 31639",(229) 433-8600
106,Irwin County Hospital,"710 N Irwin Ave, Ocilla, GA 31774",(229) 468-3800
107,Phoebe Worth Medical Center,"807 S Isabella St, Sylvester, GA 31791",(229) 776-6961
108,Phoebe Putney North,"2000 Palmyra Rd, Albany, GA 31701",(229) 434-2000
109,Mitchell County Hospital,"90 E Stephens St, Camilla, GA 31730",(229) 336-4600
110,Lifebrite Community Hospital of Early,"11740 Columbia Street, Blakely, GA 39823",(229) 723-4241
111,Donalsonville Hospital,"102 N Wiley Ave, Donalsonville, GA 39845",(229) 524-5217
112,Brooks County Hospital,"903 N Court St, Quitman, GA 31643",(229) 263-4171
113,Evans Memorial Hospital,"200 N River St, Claxton, GA 30417",(912) 739-5000
114,Memorial Satilla Health,"1900 Tebeau St, Waycross, GA 31501",(912) 283-3030
115,Bacon County Hospital,"302 S Wayne St, Alma, GA 31510",(912) 632-8961
116,Jeff Davis Hospital,"163 S Tallahassee St, Hazlehurst, GA 31539",(912) 375-7781
117,Optim Medical Tattnall,"247 S Main St, Reidsville, GA 30453",(912) 557-1000
118,East Georgia Regional Medical Center,"1499 Fair Rd, Statesboro, GA 30458",(912) 486-1000
119,Memorial Health University Medical Center,"4700 Waters Ave, Savannah, GA 31404",(912) 350-8000
120,Wayne Memorial Hospital,"865 S 1st St, Jesup, GA 31545",(912) 427-6811
121,Coffee Regional Medical Center,"1101 Ocilla Rd, Douglas, GA 31533",(912) 384-1900
122,Clinch Memorial Hospital,"1050 Valdosta Hwy, Homerville, GA 31634",(912) 487-5211
123,Appling Healthcare,"163 E Tollison St, Baxley, GA 31513",(912) 367-9841
124,Effingham Health System,"459 GA-119, Springfield, GA 31329",(912) 754-6451
125,Liberty Regional Medical Center,"462 Elma G Miles Pkwy, Hinesville, GA 31313",(912) 369-9400
126,Meadows Regional Medical Center,"1 Meadows Pkwy, Vidalia, GA 30474",(912) 535-5555
127,St. Joseph's Hospital,"11705 Mercy Boulevard, Savannah, GA 31419",(912) 819-4100
128,Southeast Georgia Health System St Marys,"2000 Dan Proctor Dr, St Marys, GA 31558",(912) 576-6200
129,Southeast Georgia Health System Brunswick,"2415 Parkwood Dr, Brunswick, GA 31520",(912) 466-7000
130,St. Joseph's Candler Hospital,"5353 Reynolds St., Savannah, GA 31405",(912) 369-3954
131,Fort Stewart Winn Army,"1061 Harmon Ave, Fort Stewart, GA 31314",(912) 435-6633
132,Candler County Hospital - Metter,"400 Cedar St, Metter, GA 30439",(912) 685-5741
133,Piedmont Rockdale,"1412 Milstead Ave NE, Conyers, GA 30012",(770) 918-3000
134,Piedmont Athens Regional Medical Center,"1199 Prince Ave, Athens, GA 30606",(706) 475-7000
135,St. Marys Hospital,"1230 Baxter St, Athens, GA 30606",(706) 389-3000
136,NGMC Barrow,"316 N Broad St, Winder, GA 30680",(770) 867-3400
137,Elbert Memorial Hospital,"4 Medical Dr, Elberton, GA 30635",(706) 283-3151
138,St. Marys Good Samaritan Hospital,"5401 Lake Oconee Pkwy, Greensboro, GA 30642",(706) 453-7331
139,Morgan Medical Center,"1740 Lions Club Rd, Madison, GA 30650",(706) 342-1667
140,Piedmont Walton Hospital,"2151 W Spring St, Monroe, GA 30655",(770) 267-8461
141,Northridge Medical Center,"70 Medical Center Dr, Commerce, GA 30529",(706) 335-1000
142,Charlie Norwood VA Medical Center,"1 Freedom Way, Augusta, GA 30904",(706) 733-0188
